Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Student Recruitment Manager (Dubai),Dubai,University of Birmingham,None,Student Recruitment Manager (Dubai) - Dubai Operations - 97053 - Grade 7. You will have the opportunity to develop and may also need to specialise your duties…,None,None,2021-02-27
Senior Fleet Manager,Dubai,GardaWorld,None,Senior Fleet Manager / permanent employee position. Strong IT skills (ideally including using/implementing Fleet Management systems).,Senior,None,2021-03-15
Social Media Manager,Dubai,Gadget Express,None,"Company: Gadget ExpressEmployment Type: Full TimeJob Type: IT,…",None,None,2021-02-20
System Administrator – Windows and Azure,Dubai,Intertec Systems,None,Participate in IT projects and act as a Project Manager on certain projects. System Administrator will work closely with internal IT teams supporting…,None,None,2021-03-11
Business Development Manager,Dubai,Ayur Mandala Ayurveda Center,"4,000-5,000",Strong communication skills and IT fluency. Contacting potential clients to establish rapport and arrange meetings. Developing quotes and proposals for clients.,None,1,2021-03-16
"Head of Customer Support, META",Dubai,Kaspersky Lab,None,"Solid background in IT Security. Technical Account Manager or similar experience is a must. Lead ground support for customer support agents & managers,…",None,None,2021-02-20
Retail & Shopper Manager,Dubai,KANTAR,None,"While consumer panel data is very powerful in helping clients take informed decisions in brand marketing areas, it can be equally powerful in supporting the…",None,None,2021-03-15
Social Media Manager,Dubai,Beams IT Solutions,None,"Experience as a Brand Manager on social media. Ultimately, a top-notch Social Media Manager should back their expertise by creating and sharing all relevant…",None,4,2021-03-13
Restaurants Manager,Dubai,The Arts Club Dubai,None,"Create and maintain daily and weekly reports including cash up, rota, summaries, manager logs, etc. It is the first international outpost of the celebrated and…",None,None,2021-02-24
Web Agency Project Manager,Dubai,Atechy Group,"4,000-8,000",Web Agency Project Manager Responsibilities: Our company is urgently looking for a Web Agency Project Manager. Working Visa supplied with Annual ticket home.,None,None,2021-03-08
Store Manager,Dubai,Al Shamsi Holdings,None,"Knowledge/Skills - Proficiency in Microsoft Office and Basic IT skills. Communicates stock replenishment needs to Operations Manager, Distribution and Buying…",None,None,2021-02-20
Business Development Manager,Dubai,Meridian IT Solutions,"6,000","Proven working experience as a business development manager, sales executive or a relevant role. Cultivating positive interactions and relationships with sales…",None,None,2021-02-21
Sr. Draughtsman,Dubai,Bashco Trading,"4,500-6,500",During the interview it is mandatory to wear a mask. Create drawings and models from written and verbal specifications obtained from Project Engineer / Manager.,Senior,None,2021-02-28
Workshop Supervisor,Dubai,Dubai Autodrome,"10,000-10,300","Place orders for spare parts/procure it from market. Manage the workshop on a day-to-day basis, supervise and support the work of Mechanics, and discuss with…",None,None,2021-02-20
Retail & Shopper Manager,Dubai,Kantar TNS,None,"While consumer panel data is very powerful in helping clients take informed decisions in brand marketing areas, it can be equally powerful in supporting the…",None,None,2021-03-16
Area Manager,Dubai,Al Shamsi Holdings,None,Liaise with the HR Department to discuss various staff movements and promotions along with the mutual consent of Brand Managers and Store Managers.,None,None,2021-02-20
Female Admin cum Receptionist,Dubai,Bitsfine Asset Management LLC,None,Screen Incoming calls and direct it to appropriate departments and take accurate and complete messages. Perform other duties as instructed by the Administration…,None,,2021-03-17
HR Manager,Dubai,First Response Healthcare LLC,None,"We are currently hiring for an HR Manager. If you are someone who is looking to give your career the right boost, we have all it needs.",None,None,2021-02-20
Clients & Industries – Assistant Manager,Dubai,Deloitte,None,"As a Clients & Industries Assistant Manager, you will work alongside the Middle East C&I Leadership team to facilitate the delivery of client programs and other…",None,None,2021-03-12
Finance Manager,Dubai,Foodmark UAE,None,"Finance support for critical initiatives for Supply Chain (Food), IT and HR functions. Supporting Head of Finance and Senior Finance Manager in business…",None,None,2021-02-20
Executive Assistant / Secretary,Dubai,Abdullah A. AlMoosa Enterprises - Arenco Group,None,"Make travel arrangements for General Manager. Submit consolidated reports to the General Manager. Coordinate with Administration, arrangements & follow up as…",None,None,2021-03-18
TECHNICIAN (IT/ELV Systems),Abu Dhabi,Golden Shield Security and Safety Systems,"3,000-4,000",Diploma or Certificate in Electrical / Electronic / Engineering / IT. Ability to understand complex systems and possess good IT skills.,None,,2021-03-16
IT Manager,Abu Dhabi,ParkerConnect,None,Prepares overall IT budget as part of annual budgeting cycle and obtains necessary approval for it. Develops IT strategy based on strategic objectives and…,None,None,2021-03-10
