Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Project Coordinator,Dubai,INFYA EXHIBITION STAND FITTING AND EXECUTION LLC,"3,500-5,000",Report to the Head of Production and Project Manager for work in progress and to follow the proper technical procedures to be carried out for specific work or…,None,None,2/16/21
Safety and Quality Specialist,Dubai,Kone,None,"Investigate, analyze & structured reporting of the product with technical issues; Reporting into the Regional Safety Manager, the successful candidate will…",None,None,3/11/21
Sales Manager - Consumable Products,Jebel Ali Freezone,Forum Energy Technologies,None,Maintain professional and technical knowledge by attending educational workshops; Responsibility for sales of consumable products for the Middle East and Asia…,None,None,2/16/21
Customer Service Representative,Abu Dhabi,"Hill International, Inc",None,"Save data in excel sheets, as required from the Line Manager, for future reference in regards to the internal and external bookings, tours and registrations…",None,None,3/16/21
Design Manager - Mid Level,Abu Dhabi,Gensler,None,"Resolve complex technical and design issues with team to produce innovative, technical, constructible solutions. At Gensler, we design for people.",None,None,3/16/21
Training Manager,Abu Dhabi,Petrofac,None,Petrofac is currently looking to recruit a Training Manager based in UAE. Senior project management experience in managing and delivering large scale Operations…,None,None,3/16/21
OPERATIONS COORDINATOR,Abu Dhabi,Al Ghazi,None,Validate and qualify new customers before referring to the appropriate sales manager. Assist technical and marketing teams in developing marketing materials and…,None,None,3/15/21
Video and Broadcast Manager - Arts Center,Abu Dhabi,NYU Abu Dhabi,None,"Firsthand experience and technical knowledge producing events on virtual event platforms such as Zoom, Vimeo, Facebook and YouTube.",None,None,3/18/21
Manager - Legal Counsel,Abu Dhabi,Aldar,None,"Assist with day-to-day legal transactions, such as sales, leases and the grant of other real estate rights and interests. 2+ years of managerial experience.",None,None,3/15/21
General Manager - Abu Dhabi,Abu Dhabi,National Oilwell Varco,None,"An effective General Manager can identify problems, think strategically/tactically/technically, solve problems and implement solutions. At 120 days and beyond:",None,None,2/28/21
Technical Project Manager,Abu Dhabi,GamaLearn,None,"We are looking for an experienced Technical Project Manager to manage a territory of fast-growing Higher Education-focused EdTech projects in MENA region, by…",None,None,2/16/21
Operations Manager,Abu Dhabi,M&S Group,None,"Position reports to General Manager. Responsible for overall vision, direction and performance of activities and technical elements of the facility to deliver…",None,2,2/16/21
Applications Manager,Abu Dhabi,twofour54,None,High level of technical knowledge in applications and solutions. Develops in coordination with IT team a strategy and roadmap for the corporate applications…,None,None,2/16/21
Store Manager - Christian Louboutin (Abu Dhabi),Abu Dhabi,Chalhoub Group,None,"The collections for both men and women combine wit, glamour, elegance and technical proficiency like no other. What we can offer you.",None,None,2/16/21
Contract Manager VESE - EGA,Abu Dhabi,Veolia,None,Produce requested reports when required by the General Manager. Report all relevant information to the General Manager promptly and accurately.,None,None,3/3/21
Project Manager,Abu Dhabi,Em Green Contracting & General Maintenance,"5,000-10,000","11-) Comply with guidelines and regulations including permits, safety etc and deliver technical files and other technical documentation as required.",None,None,2/17/21
Technical Support Representative,Abu Dhabi,Mandilak,None,Other duties as assigned by manager. Work on projects relating to the Technical Services department. Enters information into Oracle based modules pertinent to…,None,None,2/16/21
Sales Manager,Abu Dhabi,Doka,None,"Responsibility for Sales KPIs (Revenue, gross margin, collections). Extend the presence of Doka in Abu Dhabi resulting in a bigger market share in that area.",None,None,3/15/21
Senior Document Controller - Local,Abu Dhabi,Worley,None,"Monitor, lead and follow-up activities related to the administration and management of technical Documentation for the Project from conception through to hand…",Senior,None,3/17/21
Human Resources Manager,Abu Dhabi,Gensler,None,Manage all recruitment and onboarding processes for technical and administrative staff throughout the region. As the Human Resource Manager for Gensler’s Middle…,None,None,2/16/21
HR Assistant/Coordinator,Abu Dhabi,Alpin Limited,None,"A pleasant attitude - Happy to join a close-knit, entrepreneurial, technical team in the UAE; The local team is composed of a diverse range of experts who lead…",None,None,2/16/21
