Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
ASSISTANT MANAGER - HOUSEKEEPING,Abu Dhabi,Grand Hyatt Abu Dhabi,None,"The Assistant Manager - Housekeeping is expected to manage Housekeeping operation by supporting the Housekeeping Manager through guest Interactions, handle &…",None,None,2021-03-02
IT Network Engineer,Abu Dhabi,Safe City Group,None,"Installing, configuring and supporting network equipment including routers, proxy servers, switches, Load Traffic Managers.",None,2,2021-02-25
Digital Manager,Abu Dhabi,Farah Experiences,None,Be the primary point of contact for all engagements with Farah Experiences IT and collaborate with agencies and other vendor partners as needed.,None,None,2021-03-03
Senior Document Controller - Local,Abu Dhabi,Worley,None,"You can expect a lot from a career at Worley. Together, our nearly 60,000 people across 60 countries have already achieved many industry firsts.",Senior,None,2021-03-17
Camp Boss,Abu Dhabi,NCSF NATIONAL CATERING AND FOODSTUFF LLC,None,To report directly to the Project Operation Manager for the day-to-day operations. It should be submitted on or before of the 3rd day of the next month.,None,None,2021-03-11
Program Manager,Abu Dhabi,Synergein Technology LLC,None,Should possess at least 18 years of experience in IT domain. Previous experience of handling large IT projects in Public Sector would be an added advantage.,None,/10,2021-02-18
CCTV Operations Room Officer at InterContinental Abu Dhabi,Abu Dhabi,InterContinental Hotels,None,"Report to Manager all hotel property deficiencies and safety or security hazards. Conduct foot patrol, report and log any unusual observations and submit to the…",None,None,2021-03-17
Help Desk Support for Facilities Management,Abu Dhabi,United Al Saqer Group,None,What will it be like to work for United Al Saqer Group? Work closely with Contract/Facilities Managers to develop and enhance the quality of service and…,None,None,2021-02-16
"PMO, planning Manager",Abu Dhabi,Axiom Technologies,None,Axiom Technologies is an Australian based entity with the history of providing Managed IT solutions to medium to large scale enterprises globally.,None,None,2021-02-16
"Manager, Completions/Commissioning",Ruwais,Worley,None,"You can expect a lot from a career at Worley. Together, our nearly 60,000 people across 60 countries have already achieved many industry firsts.",None,None,2021-02-16
Human Resources Manager,Abu Dhabi,Gensler,None,Recommend appropriate options and assist leaders and managers in handling developmental reviews and terminations. Manage PDP process for the region.,None,None,2021-02-17
Project Manager,Abu Dhabi,Axiom Technologies,None,Axiom Technologies is an Australian based entity with the history of providing Managed IT solutions to medium to large scale enterprises globally.,None,None,2021-02-16
Ward attender,Al-Ayn,NMC Specialty ALN,None,"3.28 Challenge bias, prejudice and intolerance if appropriate or brings it to the attention of a manager. Patients and their families, Physicians, Specialists,…",None,None,2021-03-17
Administrative Coordinator - Residential Education (Fixed Te...,Abu Dhabi,NYU Abu Dhabi,None,Assist the Manager in supervising the Cultural Advisor (CA) program. Manage onboarding procedures and IT processes for the new staff to ensure smooth transition…,None,None,2021-02-28
